
   CPU Index           CPU Name

     0189      -      Unknown VAX 4000-105A
     018A      -      VAX 4000-400
     018B      -      VAX 4000-400
     018C      -      Unknown VAX 4000-400
     018D      -      VAX 10000-610
     018E      -      VAX 10000-620
     018F      -      VAX 10000-630
     0190      -      VAX 10000-640
     0191      -      VAX 10000-650
     0192      -      VAX 10000-660
     0193      -      VAX 10000-670
     0194      -      VAX 10000-680
     0195      -      VAXserver 10000-610
     0196      -      VAXserver 10000-620
     0197      -      VAXserver 10000-630
     0198      -      VAXserver 10000-640
     0199      -      VAXserver 10000-650
     019A      -      VAXserver 10000-660
     019B      -      VAXserver 10000-670
     019C      -      VAXserver 10000-680
     019D      -      Unknown VAX 10000-600 Series
     019E      -      PCVAX
     019F      -      PCVAX
     01A0      -      VAX 7000-710
     01A1      -      VAX 7000-720
     01A2      -      VAX 7000-730
     01A3      -      VAX 7000-740
     01A4      -      VAX 7000-750
     01A5      -      VAX 7000-760
     01A6      -      VAX 7000-770
     01A7      -      VAX 7000-780
     01A8      -      VAXserver 7000-710
     01A9      -      VAXserver 7000-720
     01AA      -      VAXserver 7000-730
     01AB      -      VAXserver 7000-740
     01AC      -      VAXserver 7000-750
     01AD      -      VAXserver 7000-760
     01AE      -      VAXserver 7000-770
     01AF      -      VAXserver 7000-780
     01B0      -      Unknown VAX 7000-700 Series
     01B1      -      VAX 10000-710
     01B2      -      VAX 10000-720
     01B3      -      VAX 10000-730
     01B4      -      VAX 10000-740
     01B5      -      VAX 10000-750
     01B6      -      VAX 10000-760
     01B7      -      VAX 10000-770
     01B8      -      VAX 10000-780
     01B9      -      VAXserver 10000-710
     01BA      -      VAXserver 10000-720
     01BB      -      VAXserver 10000-730
     01BC      -      VAXserver 10000-740
     01BD      -      VAXserver 10000-750
     01BE      -      VAXserver 10000-760
     01BF      -      VAXserver 10000-770
     01C0      -      VAXserver 10000-780
     01C1      -      Unknown VAX 10000-700 Series
     01C2      -      VAX 4000-400A
     01C3      -      VAX 4000-400A
     01C4      -      Unknown VAX 4000-400A
     01C5      -      VAX 4000-500A
     01C6      -      VAX 4000-500A
     01C7      -      Unknown VAX 4000-500A
     01C8      -      VAX 4000-600A
     01C9      -      VAX 4000-600A
     01CA      -      Unknown VAX 4000-600A
     01CB      -      VAX 4000-700A
     01CC      -      VAX 4000-700A
     01CD      -      Unknown VAX 4000-700A
     01CE      -      VAX 4000-50
     01CF      -      VAX 4000-50
     01D0      -      Unknown VAX 4000-50
     01D1      -      VAX 4000-800A
     01D2      -      VAX 4000-800A
     01D3      -      Unknown VAX 4000-800A
     01D4      -      VAX 4000-100A
     01D5      -      VAX 4000-100A
     01D6      -      Unknown VAX 4000-100A
     01D7      -      VAXft-810
     01D8      -      VAXft-810
     01D9      -      VAXft-812
     01DA      -      VAXft-812
     01DB      -      Unknown VAX
     01DC      -      Unknown VAX
     01DD      -      Unknown VAX
     01DE      -      Unknown VAX
     01DF      -      Unknown VAX
     01E0      -      Unknown VAX
     01E1      -      Unknown VAX
     01E2      -      Unknown VAX
     01E3      -      Unknown VAX
     01E4      -      Unknown VAX
     01E5      -      Unknown VAX
     01E6      -      Unknown VAX
     01E7      -      Unknown VAX
     01E8      -      Unknown VAX
     01E9      -      Unknown VAX
     01EA      -      Unknown VAX
     01EB      -      Unknown VAX
     01EC      -      Unknown VAX
     01ED      -      Unknown VAX
     01EE      -      Unknown VAX
     01EF      -      Unknown VAX
     01F0      -      Unknown VAX
     01F1      -      Unknown VAX
     01F2      -      Unknown VAX
     01F3      -      Unknown VAX
     01F4      -      Unknown VAX
     01F5      -      Unknown VAX
     01F6      -      Unknown VAX
     01F7      -      Unknown VAX
     01F8      -      Unknown VAX
     01F9      -      Unknown VAX
     01FA      -      Unknown VAX
     01FB      -      Unknown VAX
     01FC      -      Unknown VAX
     01FD      -      Unknown VAX
     01FE      -      Unknown VAX
     01FF      -      Unknown VAX
     0200      -      Unknown VAX
     0201      -      Unknown VAX
     0202      -      Unknown VAX
     0203      -      Unknown VAX
     0204      -      Unknown VAX
     0205      -      Unknown VAX
     0206      -      Unknown VAX
     0207      -      Unknown VAX
     0208      -      Unknown VAX
     0209      -      Unknown VAX
     020A      -      Unknown VAX
     020B      -      Unknown VAX
     020C      -      Unknown VAX
     020D      -      Unknown VAX
     020E      -      Unknown VAX
     020F      -      Unknown VAX
     0210      -      Unknown VAX
     0211      -      Unknown VAX
     0212      -      Unknown VAX
     0213      -      Unknown VAX
     0214      -      Unknown VAX
     0215      -      Unknown VAX
     0216      -      Unknown VAX
     0217      -      Unknown VAX
     0218      -      Unknown VAX
     0219      -      Unknown VAX
     021A      -      Unknown VAX
     021B      -      Unknown VAX
     021C      -      Unknown VAX
     021D      -      Unknown VAX
     021E      -      Unknown VAX
     021F      -      Unknown VAX
     0220      -      Unknown VAX
     0221      -      Unknown VAX
     0222      -      Unknown VAX
     0223      -      Unknown VAX
     0224      -      Unknown VAX
     0225      -      Unknown VAX
     0226      -      Unknown VAX
     0227      -      Unknown VAX
     0228      -      Unknown VAX
     0229      -      Unknown VAX
     022A      -      Unknown VAX
     022B      -      Unknown VAX
     022C      -      Unknown VAX
     022D      -      Unknown VAX
     022E      -      Unknown VAX
     022F      -      Unknown VAX
     0230      -      Unknown VAX
     0231      -      Unknown VAX
     0232      -      Unknown VAX
     0233      -      Unknown VAX
     0234      -      Unknown VAX
     0235      -      Unknown VAX
     0236      -      Unknown VAX
     0237      -      Unknown VAX
     0238      -      Unknown VAX
     0239      -      Unknown VAX
     023A      -      Unknown VAX
     023B      -      Unknown VAX
     023C      -      Unknown VAX
     023D      -      Unknown VAX
     023E      -      Unknown VAX
     023F      -      Unknown VAX
     0240      -      Unknown VAX
     0241      -      Unknown VAX
     0242      -      Unknown VAX
     0243      -      Unknown VAX
     0244      -      Unknown VAX
     0245      -      Unknown VAX
     0246      -      Unknown VAX
     0247      -      Unknown VAX
     0248      -      Unknown VAX
     0249      -      Unknown VAX
     024A      -      Unknown VAX
     024B      -      Unknown VAX
     024C      -      Unknown VAX
     024D      -      Unknown VAX
     024E      -      Unknown VAX
     024F      -      Unknown VAX
     0250      -      Unknown VAX
     0251      -      Unknown VAX
     0252      -      Unknown VAX
     0253      -      Unknown VAX
     0254      -      Unknown VAX
     0255      -      Unknown VAX
     0256      -      Unknown VAX
     0257      -      Unknown VAX
     0258      -      Unknown VAX
     0259      -      Unknown VAX
     025A      -      Unknown VAX
     025B      -      Unknown VAX
     025C      -      Unknown VAX
     025D      -      Unknown VAX
     025E      -      Unknown VAX
     025F      -      Unknown VAX
     0260      -      Unknown VAX
     0261      -      Unknown VAX
     0262      -      Unknown VAX
     0263      -      Unknown VAX
     0264      -      Unknown VAX
     0265      -      Unknown VAX
     0266      -      Unknown VAX
     0267      -      Unknown VAX
     0268      -      Unknown VAX
     0269      -      Unknown VAX
     026A      -      Unknown VAX
     026B      -      Unknown VAX
     026C      -      Unknown VAX
     026D      -      Unknown VAX
     026E      -      Unknown VAX
     026F      -      Unknown VAX
     0270      -      Unknown VAX
     0271      -      Unknown VAX
     0272      -      Unknown VAX
     0273      -      Unknown VAX
     0274      -      Unknown VAX
     0275      -      Unknown VAX
     0276      -      Unknown VAX
     0277      -      Unknown VAX
     0278      -      Unknown VAX
     0279      -      Unknown VAX
     027A      -      Unknown VAX
     027B      -      Unknown VAX
     027C      -      Unknown VAX
     027D      -      Unknown VAX
     027E      -      Unknown VAX
     027F      -      Unknown VAX
     0280      -      Unknown VAX
     0281      -      Unknown VAX
     0282      -      Unknown VAX
     0283      -      Unknown VAX
     0284      -      Unknown VAX
     0285      -      Unknown VAX
     0286      -      Unknown VAX
     0287      -      Unknown VAX
     0288      -      Unknown VAX
     0289      -      Unknown VAX
     028A      -      Unknown VAX
     028B      -      Unknown VAX
     028C      -      Unknown VAX
     028D      -      Unknown VAX
     028E      -      Unknown VAX
     028F      -      Unknown VAX
     0290      -      Unknown VAX
     0291      -      Unknown VAX
     0292      -      Unknown VAX
     0293      -      Unknown VAX
     0294      -      Unknown VAX
     0295      -      Unknown VAX
     0296      -      Unknown VAX
     0297      -      Unknown VAX
     0298      -      Unknown VAX
     0299      -      Unknown VAX
     029A      -      Unknown VAX
     029B      -      Unknown VAX
     029C      -      Unknown VAX
     029D      -      Unknown VAX
     029E      -      Unknown VAX
     029F      -      Unknown VAX
     02A0      -      Unknown VAX
     02A1      -      Unknown VAX
     02A2      -      Unknown VAX
     02A3      -      Unknown VAX
     02A4      -      Unknown VAX
     02A5      -      Unknown VAX
     02A6      -      Unknown VAX
     02A7      -      Unknown VAX
     02A8      -      Unknown VAX
     02A9      -      Unknown VAX
     02AA      -      Unknown VAX
     02AB      -      Unknown VAX
     02AC      -      Unknown VAX
     02AD      -      Unknown VAX
     02AE      -      Unknown VAX
     02AF      -      Unknown VAX
     02B0      -      Unknown VAX
     02B1      -      Unknown VAX
     02B2      -      Unknown VAX
     02B3      -      Unknown VAX
     02B4      -      Unknown VAX
     02B5      -      Unknown VAX
     02B6      -      Unknown VAX
     02B7      -      Unknown VAX
     02B8      -      Unknown VAX
     02B9      -      Unknown VAX
     02BA      -      Unknown VAX
     02BB      -      Unknown VAX
     02BC      -      Unknown VAX
     02BD      -      Unknown VAX
     02BE      -      Unknown VAX
     02BF      -      Unknown VAX
     02C0      -      Unknown VAX
     02C1      -      Unknown VAX
